Run Number,Well,Time - DROP,CP - DROP (psi),TP - DROP (psi),LP - DROP (psi),Liquid Load - DROP (psi),Fluid in Tubing - DROP (bbl),Time - ARRIVING,CP - ARRIVING (psi),TP - ARRIVING (psi),LP - ARRIVING (psi),Lift Pressure - ARRIVING (psi),Lift Factor - ARRIVING,Rise Time (m),Rise Velocity (fpm),Good,Miss,Open Duration (m),Close Duration (m),Gas,GasRate,Fluidrate (bbl/m),Lift Pressure - DROP (psi),UpwardRate (psi/m)
1669,Anderson_East_2-35,2/5/2025 23:08,273.0,61.0,50.05,212.0,2.7,2/5/2025 22:54,275.0,115.0,46.56,228.44,1.43,9.066666667,497.3161765,1.0,0.0,13.55,0.85,0.14,0.010332103321033211,0.1992619926199262,222.95,6.4588235294117755
1668,Anderson_East_2-35,2/5/2025 22:53,275.0,65.0,54.55,210.0,2.68,2/5/2025 22:40,276.0,116.0,52.07,223.93,1.4,8.25,546.5454545,1.0,0.0,13.75,0.85,0.12,0.008727272727272728,0.19490909090909092,220.45,4.094117647058845
1667,Anderson_East_2-35,2/5/2025 22:39,275.0,67.0,56.24,208.0,2.65,2/5/2025 22:25,276.0,117.0,53.11,222.89,1.4,8.1,556.6666667,1.0,0.0,13.71666667,0.8,0.14,0.010206561358394518,0.19319562571246765,218.76,5.162499999999994
1666,Anderson_East_2-35,2/5/2025 22:24,273.0,67.0,56.25,206.0,2.63,2/5/2025 22:11,274.0,114.0,53.2,220.8,1.38,8.133333333,554.3852459,1.0,0.0,13.3,0.85,0.13,0.009774436090225564,0.1977443609022556,216.75,4.7647058823529544
1665,Anderson_East_2-35,2/5/2025 22:10,275.0,67.0,55.18,208.0,2.65,2/5/2025 21:57,277.0,110.0,52.67,224.33,1.34,7.966666667,565.9832636,1.0,0.0,13.23333333,0.766666667,0.13,0.009823677584338457,0.200251889219207,219.82,5.882608693094544
1664,Anderson_East_2-35,2/5/2025 21:56,278.0,65.0,54.59,213.0,2.72,2/5/2025 21:43,280.0,112.0,51.03,228.97,1.36,7.966666667,565.9832636,1.0,0.0,12.9,0.75,0.12,0.009302325581395349,0.21085271317829457,223.41,7.413333333333337
1663,Anderson_East_2-35,2/5/2025 21:42,274.0,66.0,54.03,208.0,2.65,2/5/2025 21:29,275.0,121.0,51.91,223.09,1.45,8.133333333,554.3852459,1.0,0.0,13.55,0.85,0.14,0.010332103321033211,0.19557195571955718,219.97,3.6705882352941233
1662,Anderson_East_2-35,2/5/2025 21:28,273.0,67.0,56.38,206.0,2.63,2/5/2025 21:15,274.0,111.0,54.25,219.75,1.35,7.716666667,584.3196544,1.0,0.0,13.13333333,0.833333333,0.14,0.01065989847986292,0.20025380715742483,216.62,3.7560000015023944
1661,Anderson_East_2-35,2/5/2025 21:14,271.0,69.0,53.22,202.0,2.58,2/5/2025 21:02,272.0,130.0,53.55,218.45,1.54,8.2,549.8780488,1.0,0.0,12.43333333,0.85,0.13,0.010455764077870178,0.20750670246850048,217.78,0.7882352941176324
1660,Anderson_East_2-35,2/5/2025 21:01,274.0,62.0,49.2,212.0,2.7,2/5/2025 20:19,275.0,120.0,46.06,228.94,1.48,9.666666667,466.4482759,1.0,0.0,41.88333333,0.833333333,0.13,0.0031038599286194878,0.06446478313286629,224.8,4.968000001987184
1659,Anderson_East_2-35,2/5/2025 20:18,272.0,66.0,49.18,206.0,2.63,2/5/2025 20:01,272.0,129.0,47.01,224.99,1.57,10.15,444.2364532,1.0,0.0,16.85,0.85,0.14,0.00830860534124629,0.15608308605341245,222.82,2.552941176470607
1658,Anderson_East_2-35,2/5/2025 20:00,276.0,67.0,55.87,209.0,2.67,2/5/2025 19:17,277.0,115.0,52.89,224.11,1.38,8.116666667,555.523614,1.0,0.0,42.91666667,0.916666667,0.17,0.003961165048236026,0.062213592228177586,220.13,4.3418181802393585
1657,Anderson_East_2-35,2/5/2025 19:16,276.0,63.0,52.03,213.0,2.72,2/5/2025 19:03,277.0,113.0,50.25,226.75,1.38,8.283333333,544.3460765,1.0,0.0,13.35,0.833333333,0.14,0.010486891385767791,0.20374531835205995,223.97,3.3360000013344013
1656,Anderson_East_2-35,2/5/2025 19:02,274.0,64.0,53.23,210.0,2.68,2/5/2025 18:48,275.0,106.0,49.68,225.32,1.33,8.216666667,548.7626775,1.0,0.0,14.05,0.85,0.12,0.008540925266903913,0.19074733096085408,220.77,5.352941176470568
1655,Anderson_East_2-35,2/5/2025 18:47,275.0,64.0,52.91,211.0,2.69,2/5/2025 18:34,276.0,113.0,50.74,225.26,1.38,8.65,521.2716763,1.0,0.0,13.38333333,0.85,0.14,0.010460772107213145,0.200996264060024,222.09,3.7294117647058678
1654,Anderson_East_2-35,2/5/2025 18:33,276.0,65.0,52.73,211.0,2.69,2/5/2025 18:19,277.0,120.0,48.08,228.92,1.46,9.35,482.2459893,1.0,0.0,13.76666667,0.85,0.14,0.010169491522961384,0.19539951569118658,223.27,6.6470588235293855
1653,Anderson_East_2-35,2/5/2025 18:19,278.0,65.0,53.93,213.0,2.72,2/5/2025 18:05,279.0,112.0,51.5,227.5,1.36,8.283333333,544.3460765,1.0,0.0,13.55,0.833333333,0.19,0.014022140221402213,0.2007380073800738,224.07,4.116000001646408
1652,Anderson_East_2-35,2/5/2025 18:04,275.0,66.0,53.48,209.0,2.67,2/5/2025 17:51,276.0,113.0,50.47,225.53,1.38,8.3,543.253012,1.0,0.0,13.31666667,0.85,0.13,0.009762202750998197,0.2005006257320399,221.52,4.717647058823519
1651,Anderson_East_2-35,2/5/2025 17:50,272.0,70.0,53.02,202.0,2.58,2/5/2025 17:35,273.0,131.0,50.23,222.77,1.57,9.75,462.4615385,1.0,0.0,14.81666667,0.85,0.15,0.010123734530905796,0.1741282339315797,218.98,4.458823529411789
1650,Anderson_East_2-35,2/5/2025 17:34,279.0,68.0,55.85,211.0,2.69,2/5/2025 16:42,280.0,114.0,52.74,227.26,1.37,8.0,563.625,1.0,0.0,51.83333333,0.85,0.18,0.0034726688105127116,0.05189710611266219,223.15,4.835294117647042
1649,Anderson_East_2-35,2/5/2025 16:42,276.0,67.0,57.19,209.0,2.67,2/5/2025 16:28,277.0,108.0,53.66,223.34,1.32,8.133333333,554.3852459,1.0,0.0,13.28333333,0.866666667,0.14,0.01053952321468997,0.20100376416587296,218.81,5.226923074912723
1648,Anderson_East_2-35,2/5/2025 16:28,275.0,63.0,51.54,212.0,2.7,2/5/2025 16:14,276.0,119.0,48.21,227.79,1.45,8.95,503.7988827,1.0,0.0,13.75,0.783333333,0.12,0.008727272727272728,0.19636363636363638,223.46,5.527659576820261
1647,Anderson_East_2-35,2/5/2025 16:13,276.0,63.0,50.02,213.0,2.72,2/5/2025 15:57,276.0,117.0,48.9,227.1,1.43,10.35,435.6521739,1.0,0.0,16.23333333,0.866666667,0.14,0.008624229981237009,0.16755646820689046,225.98,1.2923076918106562
1646,Anderson_East_2-35,2/5/2025 15:56,280.0,62.0,50.7,218.0,2.78,2/5/2025 15:39,280.0,123.0,46.96,233.04,1.48,10.78333333,418.1452859,1.0,0.0,16.96666667,0.783333333,0.13,0.007662082513229454,0.1638506875905991,229.3,4.774468087138047
1645,Anderson_East_2-35,2/5/2025 15:38,278.0,63.0,52.77,215.0,2.74,2/5/2025 15:25,279.0,106.0,50.2,228.8,1.32,7.633333333,590.69869,1.0,0.0,12.86666667,0.883333333,0.16,0.012435233157400197,0.2129533678204784,225.23,4.041509435487386
1644,Anderson_East_2-35,2/5/2025 15:24,275.0,67.0,53.77,208.0,2.65,2/5/2025 15:12,276.0,123.0,49.88,226.12,1.48,8.1,556.6666667,1.0,0.0,12.53333333,0.783333333,0.12,0.009574468087652784,0.21143617026899897,221.23,6.242553194145787
1643,Anderson_East_2-35,2/5/2025 15:11,273.0,67.0,55.16,206.0,2.63,2/5/2025 15:00,276.0,112.0,53.02,222.98,1.36,5.566666667,810.0,1.0,0.0,11.23333333,0.85,0.16,0.014243323446363004,0.23412462914959187,217.84,6.047058823529396
1642,Anderson_East_2-35,2/5/2025 14:59,277.0,62.0,51.71,215.0,2.74,2/5/2025 14:47,279.0,99.0,46.55,232.45,1.29,6.866666667,656.6504854,1.0,0.0,11.91666667,0.766666667,0.12,0.010069930067113306,0.22993006986575384,225.29,9.339130430722113
1641,Anderson_East_2-35,2/5/2025 14:46,278.0,65.0,52.22,213.0,2.72,2/5/2025 14:33,279.0,122.0,49.61,229.39,1.46,8.833333333,510.4528302,1.0,0.0,12.85,0.866666667,0.14,0.010894941634241246,0.2116731517509728,225.78,4.1653846137825274
1640,Anderson_East_2-35,2/5/2025 14:33,277.0,63.0,52.08,214.0,2.73,2/5/2025 14:20,280.0,104.0,48.85,231.15,1.31,7.0,644.1428571,1.0,0.0,12.95,0.783333333,0.13,0.010038610038610039,0.21081081081081082,224.92000000000002,7.9531914927460265
1639,Anderson_East_2-35,2/5/2025 14:19,273.0,71.0,58.08,202.0,2.58,2/5/2025 14:06,275.0,132.0,55.36,219.64,1.54,8.25,546.5454545,1.0,0.0,12.81666667,0.883333333,0.12,0.009362808840217734,0.2013003900646813,214.92000000000002,5.343396228431437
1638,Anderson_East_2-35,2/5/2025 14:05,280.0,70.0,59.69,210.0,2.68,2/5/2025 12:47,281.0,102.0,57.12,223.88,1.25,6.616666667,681.4609572,1.0,0.0,78.38333333,0.85,0.16,0.0020412502658746015,0.03419094195339958,220.31,4.199999999999992
1637,Anderson_East_2-35,2/5/2025 12:46,278.0,79.0,66.23,199.0,2.54,2/5/2025 12:34,279.0,133.0,64.37,214.63,1.47,7.45,605.2348993,1.0,0.0,12.13333333,0.766666667,0.13,0.0107142857172292,0.20934065939817054,211.76999999999998,3.7304347809867853
1636,Anderson_East_2-35,2/5/2025 12:33,279.0,74.0,62.63,205.0,2.62,2/5/2025 11:04,280.0,121.0,59.86,220.14,1.38,7.083333333,636.5647059,1.0,0.0,89.11666667,0.866666667,0.13,0.001458761922518842,0.029399663361533584,216.37,4.349999998326902
1635,Anderson_East_2-35,2/5/2025 11:03,276.0,76.0,64.27,200.0,2.55,2/5/2025 10:50,278.0,111.0,60.97,217.03,1.3,6.583333333,684.9113924,1.0,0.0,12.8,0.866666667,0.13,0.01015625,0.19921874999999997,211.73000000000002,6.115384613032525
1634,Anderson_East_2-35,2/5/2025 10:49,274.0,76.0,63.79,198.0,2.53,2/5/2025 10:38,274.0,131.0,62.41,211.59,1.48,7.116666667,633.5831382,1.0,0.0,11.43333333,0.866666667,0.11,0.009620991256449269,0.22128279889833316,210.21,1.5923076916952612
1633,Anderson_East_2-35,2/5/2025 10:37,281.0,68.0,55.88,213.0,2.72,2/5/2025 9:48,282.0,121.0,54.71,227.29,1.41,9.366666667,481.3879004,1.0,0.0,48.78333333,0.766666667,0.12,0.0024598565085384256,0.05575674752687099,225.12,2.8304347813780555
1632,Anderson_East_2-35,2/5/2025 9:47,278.0,76.0,62.63,202.0,2.58,2/5/2025 9:33,278.0,130.0,58.25,219.75,1.48,7.716666667,584.3196544,1.0,0.0,14.73333333,0.85,0.12,0.008144796381933212,0.17511312221156405,215.37,5.152941176470583
1631,Anderson_East_2-35,2/5/2025 9:32,277.0,73.0,61.7,204.0,2.6,2/5/2025 9:19,279.0,109.0,59.06,219.94,1.29,5.816666667,775.1862464,1.0,0.0,13.35,0.833333333,0.17,0.012734082397003747,0.1947565543071161,215.3,5.568000002227183
1630,Anderson_East_2-35,2/5/2025 9:18,274.0,76.0,62.05,198.0,2.53,2/5/2025 9:04,274.0,134.0,60.77,213.23,1.52,8.366666667,538.9243028,1.0,0.0,13.76666667,0.833333333,0.12,0.008716707019681184,0.18377723966494497,211.95,1.5360000006144015
1629,Anderson_East_2-35,2/5/2025 9:03,279.0,79.0,66.63,200.0,2.55,2/5/2025 8:22,280.0,137.0,63.34,216.66,1.52,7.866666667,573.1779661,1.0,0.0,40.66666667,0.833333333,0.15,0.0036885245898615965,0.06270491802764713,212.37,5.148000002059191
1628,Anderson_East_2-35,2/5/2025 8:22,278.0,74.0,63.26,204.0,2.6,2/5/2025 8:08,280.0,117.0,61.47,218.53,1.34,6.483333333,695.4755784,1.0,0.0,13.58333333,0.85,0.12,0.008834355830388798,0.19141104299175732,214.74,4.458823529411755
1627,Anderson_East_2-35,2/5/2025 8:07,277.0,78.0,65.28,199.0,2.54,2/5/2025 7:55,278.0,125.0,61.37,216.63,1.42,6.383333333,706.3707572,1.0,0.0,11.8,0.85,0.12,0.010169491525423728,0.21525423728813559,211.72,5.7764705882352905
1626,Anderson_East_2-35,2/5/2025 7:55,277.0,73.0,61.45,204.0,2.6,2/5/2025 7:42,278.0,109.0,59.76,218.24,1.29,5.966666667,755.698324,1.0,0.0,12.38333333,0.85,0.13,0.010497981160295555,0.20995962320591108,215.55,3.1647058823529384
1625,Anderson_East_2-35,2/5/2025 7:41,277.0,72.0,59.79,205.0,2.62,2/5/2025 7:29,278.0,119.0,56.79,221.21,1.39,7.783333333,579.3147752,1.0,0.0,12.25,0.85,0.11,0.008979591836734694,0.21387755102040817,217.21,4.705882352941177
