Run Number,Well,Time - DROP,CP - DROP (psi),TP - DROP (psi),LP - DROP (psi),Liquid Load - DROP (psi),Fluid in Tubing - DROP (bbl),Time - ARRIVING,CP - ARRIVING (psi),TP - ARRIVING (psi),LP - ARRIVING (psi),Lift Pressure - ARRIVING (psi),Lift Factor - ARRIVING,Rise Time (m),Rise Velocity (fpm),Good,Miss,Open Duration (m),Close Duration (m),Gas,Liquid
1669,Anderson_East_2-35,2/5/2025 23:08,271,62,50.76,209,2.67,2/5/2025 22:54,275,115,46.56,228.44,1.43,9.066666667,497.3161765,1,0,13.55,0.85,0.14,
1668,Anderson_East_2-35,2/5/2025 22:53,273,61,50.05,212,2.7,2/5/2025 22:40,276,116,52.07,223.93,1.4,8.25,546.5454545,1,0,13.75,0.85,0.12,
1667,Anderson_East_2-35,2/5/2025 22:39,275,65,54.55,210,2.68,2/5/2025 22:25,276,117,53.11,222.89,1.4,8.1,556.6666667,1,0,13.71666667,0.8,0.14,
1666,Anderson_East_2-35,2/5/2025 22:24,275,67,56.24,208,2.65,2/5/2025 22:11,274,114,53.2,220.8,1.38,8.133333333,554.3852459,1,0,13.3,0.85,0.13,
1665,Anderson_East_2-35,2/5/2025 22:10,273,67,56.25,206,2.63,2/5/2025 21:57,277,110,52.67,224.33,1.34,7.966666667,565.9832636,1,0,13.23333333,0.766666667,0.13,
1664,Anderson_East_2-35,2/5/2025 21:56,275,67,55.18,208,2.65,2/5/2025 21:43,280,112,51.03,228.97,1.36,7.966666667,565.9832636,1,0,12.9,0.75,0.12,
1663,Anderson_East_2-35,2/5/2025 21:42,278,65,54.59,213,2.72,2/5/2025 21:29,275,121,51.91,223.09,1.45,8.133333333,554.3852459,1,0,13.55,0.85,0.14,
1662,Anderson_East_2-35,2/5/2025 21:28,274,66,54.03,208,2.65,2/5/2025 21:15,274,111,54.25,219.75,1.35,7.716666667,584.3196544,1,0,13.13333333,0.833333333,0.14,
1661,Anderson_East_2-35,2/5/2025 21:14,273,67,56.38,206,2.63,2/5/2025 21:02,272,130,53.55,218.45,1.54,8.2,549.8780488,1,0,12.43333333,0.85,0.13,
1660,Anderson_East_2-35,2/5/2025 21:01,271,69,53.22,202,2.58,2/5/2025 20:19,275,120,46.06,228.94,1.48,9.666666667,466.4482759,1,0,41.88333333,0.833333333,0.13,
