Run Number,Well,Time - DROP,CP - DROP (psi),TP - DROP (psi),LP - DROP (psi),Liquid Load - DROP (psi),Fluid in Tubing - DROP (bbl),Time - ARRIVING,CP - ARRIVING (psi),TP - ARRIVING (psi),LP - ARRIVING (psi),Lift Pressure - ARRIVING (psi),Lift Factor - ARRIVING,Rise Time (m),Rise Velocity (fpm),Good,Miss,Open Duration (m),Close Duration (m),Gas,Liquid
1477,Pickle_1-8-5-32H-2,2/5/2025 23:46,164.43,71.86,65.36,92.57,1.18,2/5/2025 23:26,173.02,150.37,74.05,98.97,4.37,10.28333333,397.9254457,1,0,19.41666667,1.133333333,0.06,
1476,Pickle_1-8-5-32H-2,2/5/2025 23:25,170.25,76.42,67.07,93.84,1.2,2/5/2025 22:56,175.47,77.8,40.12,135.34,1.39,14.35,285.1567944,1,0,29.33333333,1.133333333,0.09,
1475,Pickle_1-8-5-32H-2,2/5/2025 22:55,173.83,43,38.85,130.82,1.67,2/5/2025 22:39,172.47,97.87,71.5,100.97,1.35,11.95,342.4267782,1,0,15.78333333,1.116666667,0.06,
1474,Pickle_1-8-5-32H-2,2/5/2025 22:38,168.7,86.1,82.5,82.59,1.05,2/5/2025 21:44,166.02,44.16,27.1,138.92,1.14,49.96666667,81.8945964,1,0,53.75,1.1,0.16,
1473,Pickle_1-8-5-32H-2,2/5/2025 21:43,157.98,36.98,34.31,121,1.54,2/5/2025 21:00,156.42,80.22,49.39,107.03,1.4,38.61666667,105.9646094,1,0,42.51666667,1.15,0.13,
1472,Pickle_1-8-5-32H-2,2/5/2025 20:59,153.02,62.49,59.37,90.53,1.15,2/5/2025 20:42,160.6,113.15,31.27,129.33,2.73,15.01666667,272.4972253,1,0,17.41666667,1.116666667,0.14,
1471,Pickle_1-8-5-32H-2,2/5/2025 20:41,159.27,45.11,34.04,114.17,1.46,2/5/2025 20:01,169.1,104.99,68.24,100.86,1.57,13.91666667,294.0359281,1,0,39.86666667,1.15,0.15,
1470,Pickle_1-8-5-32H-2,2/5/2025 20:00,162.44,71.29,65.59,91.16,1.16,2/5/2025 19:46,166.74,104.7,44.77,121.96,1.97,11.01666667,371.4372163,1,0,13.9,1.133333333,0.06,
1469,Pickle_1-8-5-32H-2,2/5/2025 19:45,165.56,54.13,48.95,111.43,1.42,2/5/2025 19:23,167,83.8,72.61,94.39,1.13,19.01666667,215.179667,1,0,21.6,1.116666667,0.14,
1468,Pickle_1-8-5-32H-2,2/5/2025 19:22,159.53,74.89,70.9,84.64,1.08,2/5/2025 18:55,162.88,64.14,32.92,129.96,1.32,23.45,174.4989339,1,0,26.81666667,1.116666667,0,
1467,Pickle_1-8-5-32H-2,2/5/2025 18:54,159.62,43.12,39.93,116.5,1.49,2/5/2025 18:36,161.52,77.28,39.07,122.45,1.45,14.81666667,276.1754781,1,0,17.9,1.166666667,0.1,
1466,Pickle_1-8-5-32H-2,2/5/2025 18:35,159.27,46.03,42.3,113.24,1.44,2/5/2025 18:21,163.77,128.6,72.83,90.94,2.59,10.36666667,394.7266881,1,0,14.33333333,1.15,0.1,
1465,Pickle_1-8-5-32H-2,2/5/2025 18:19,161.81,73.74,67.49,88.07,1.12,2/5/2025 17:32,172.62,70.02,43.63,128.98,1.26,20.73333333,197.3633441,1,0,47.08333333,1.15,0.07,
1464,Pickle_1-8-5-32H-2,2/5/2025 17:31,169.99,47.04,42.98,122.95,1.57,2/5/2025 17:08,168.12,69.5,44.57,123.55,1.25,19.73333333,207.3648649,1,0,23.6,1.133333333,0.05,
1463,Pickle_1-8-5-32H-2,2/5/2025 17:07,164.89,44.53,41.08,120.36,1.54,2/5/2025 16:47,164.89,82.07,68.26,96.63,1.17,15.58333333,262.5882353,1,0,19.06666667,1.15,0.02,
1462,Pickle_1-8-5-32H-2,2/5/2025 16:46,159.71,73.28,69.96,86.43,1.1,2/5/2025 16:11,162.47,56.35,32.33,130.14,1.23,31.65,129.2890995,1,0,35.55,1.1,0.03,
1461,Pickle_1-8-5-32H-2,2/5/2025 16:10,159.1,39.66,37.04,119.44,1.52,2/5/2025 15:48,161.06,123.41,57.28,103.78,2.76,18.41666667,222.1900452,1,0,21.95,1.166666667,0.07,
1460,Pickle_1-8-5-32H-2,2/5/2025 15:47,158.9,64.83,57.48,94.07,1.2,2/5/2025 15:07,167.66,97.61,27.08,140.58,2.01,12.83333333,318.8571429,1,0,39.3,1.116666667,0.12,
1459,Pickle_1-8-5-32H-2,2/5/2025 15:06,165.67,39.23,31.07,126.45,1.61,2/5/2025 14:47,164.52,104.93,52.13,112.39,1.89,14.73333333,277.7375566,1,0,19.16666667,1.166666667,0.15,
1458,Pickle_1-8-5-32H-2,2/5/2025 14:46,161.72,58.05,51.54,103.67,1.32,2/5/2025 14:27,165.12,79.47,55.86,109.27,1.28,16.7,245.0299401,1,0,19.26666667,1.116666667,0.11,
1457,Pickle_1-8-5-32H-2,2/5/2025 14:25,159.3,69.15,65.94,90.15,1.15,2/5/2025 13:58,163.42,67.02,28.72,134.71,1.4,23.95,170.8559499,1,0,27.36666667,1.116666667,0.13,
1456,Pickle_1-8-5-32H-2,2/5/2025 13:57,160.86,35.56,32.32,125.3,1.6,2/5/2025 13:41,156.22,105.82,54.78,101.44,2.01,12.43333333,329.1152815,1,0,16.38333333,1.15,0.09,
1455,Pickle_1-8-5-32H-2,2/5/2025 13:39,151.67,53.9,46.73,97.77,1.25,2/5/2025 12:48,174.23,79.88,47.3,126.93,1.35,11.48333333,356.3425254,1,0,51.01666667,1.116666667,0.05,
1454,Pickle_1-8-5-32H-2,2/5/2025 12:47,167.11,58.8,55.26,108.31,1.38,2/5/2025 12:18,171.15,61.14,30.9,140.25,1.27,25.75,158.9126214,1,0,29.41666667,1.116666667,0.14,
1453,Pickle_1-8-5-32H-2,2/5/2025 12:17,168.64,45.14,42.15,123.5,1.58,2/5/2025 11:51,167.46,72.09,41.83,125.63,1.32,21.28333333,192.2631167,1,0,25.55,1.1,0.18,
1452,Pickle_1-8-5-32H-2,2/5/2025 11:50,163.4,40.47,37.31,122.93,1.57,2/5/2025 11:29,162.62,91.78,33.38,129.24,1.82,16.4,249.5121951,1,0,20.73333333,1.166666667,0.01,
1451,Pickle_1-8-5-32H-2,2/5/2025 11:28,162.1,44.21,37.81,117.88,1.5,2/5/2025 11:14,167.49,134.37,80.3,87.19,2.63,11.16666667,366.4477612,1,0,14.56666667,1.116666667,0.13,
1450,Pickle_1-8-5-32H-2,2/5/2025 11:12,164.49,80.22,75.67,84.27,1.08,2/5/2025 10:50,172.21,141.57,69.62,102.59,3.35,10.41666667,392.832,1,0,22.16666667,1.166666667,0.07,
1449,Pickle_1-8-5-32H-2,2/5/2025 10:49,169.33,71.29,62.45,98.05,1.25,2/5/2025 10:14,172.76,68.81,31.65,141.11,1.36,19.5,209.8461538,1,0,35.56666667,1.183333333,0.07,
1448,Pickle_1-8-5-32H-2,2/5/2025 10:12,171.26,46.81,44.17,124.45,1.59,2/5/2025 9:38,184.06,96.37,29.87,154.19,1.76,30.15,135.721393,1,0,34.4,1.166666667,0.2,
1447,Pickle_1-8-5-32H-2,2/5/2025 9:37,186.62,38.53,34,148.09,1.89,2/5/2025 8:47,164.49,44.99,29.73,134.76,1.13,50.01666667,81.81272909,0,1,50.01666667,1.116666667,0.13,
1446,Pickle_1-8-5-32H-2,2/5/2025 8:46,158.24,32.25,30.36,125.99,1.61,2/5/2025 8:08,160.54,68.35,43.31,117.23,1.27,34.21666667,119.5908427,1,0,38.06666667,1.133333333,0.06,
1445,Pickle_1-8-5-32H-2,2/5/2025 8:06,152.36,42.54,39.12,109.82,1.4,2/5/2025 7:45,164.32,87.58,29.25,135.06,1.76,18.93333333,216.1267606,1,0,21.88333333,1.166666667,0.02,
1444,Pickle_1-8-5-32H-2,2/5/2025 7:44,161.32,38.1,34.12,123.22,1.57,2/5/2025 7:29,166.42,138.32,66.46,99.96,3.56,9.466666667,432.2535211,1,0,14.08333333,1.1,0.15,
